"n","vare","B","seed","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","OG. 1","OG. 2","OG. 3","OG. 4","OG. 5","OG. 6","OG. 7","OG. 8","OG. 9","OG.10","OG.11","OG.12","OG.13","OG.14","OG.15","OG.16","OG.17","OG.18","OG.19","OG.20","NG. 1","NG. 2","NG. 3","NG. 4","NG. 5","NG. 6","NG. 7","NG. 8","NG. 9","NG.10","NG.11","NG.12","NG.13","NG.14","NG.15","NG.16","NG.17","NG.18","NG.19","NG.20","CG. 1","CG. 2","CG. 3","CG. 4","CG. 5","CG. 6","CG. 7","CG. 8","CG. 9","CG.10","CG.11","CG.12","CG.13","CG.14","CG.15","CG.16","CG.17","CG.18","CG.19","CG.20"
800,0.09,80,6000001,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.28860594064656,0.966924582572235,0.735027375821959,0.581042979501487,0.493100052716571,0.459327254572961,0.46785324417641,0.506806680632669,0.564316223047491,0.628510530526626,0.687518262175828,0.729468077100847,0.742488634407435,0.714708593201345,0.634256612588327,0.489261351674134,0.267851469564518,-0.0418443746347708,-0.45169752181798,-0.973579312879357,0.785491126515692,0.662889796090212,0.578888666275234,0.528210922416536,0.505579749859893,0.505718333951084,0.523349860035886,0.553197513460075,0.589984479569429,0.628433943709725,0.663269091226739,0.68921310746625,0.700989177774033,0.693320487495867,0.660930221977527,0.598541566564792,0.500877706603438,0.362661827439243,0.178617114417983,-0.0565332471145651,1.55072713457677,1.11782638477341,0.802191896277735,0.58886560176127,0.462889433895535,0.409305325352054,0.41315520880235,0.459481016917944,0.533324682370359,0.619728137831119,0.703733315971745,0.770382149463761,0.804716570978689,0.791778513188052,0.716609908763372,0.564252690376172,0.319748790697975,-0.0318598575996978,-0.505531321845322,-1.11622366936738
8000,0.09,80,6000001,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.2514448484738,0.941652163767581,0.720539734924954,0.576191545253985,0.496691578062733,0.470123816659259,0.484572244351626,0.528120844447893,0.588853600256121,0.654854495084371,0.714207512240705,0.754996635033183,0.765305846769866,0.733219130758815,0.646820470308091,0.494193848725754,0.263423249319866,-0.0574073446015126,-0.480213949730321,-1.0169125827585,0.768474727862404,0.655604198658583,0.58041610216719,0.53748609400612,0.521389829793266,0.526702965146522,0.548001155683781,0.579860057022936,0.616855324781882,0.653562614578511,0.684557582030718,0.704415882756396,0.707713172373439,0.68902510649974,0.642927340753193,0.563995530751691,0.446805332113129,0.285932400455398,0.0759523913963941,-0.18855903944599,1.23615556983772,0.925872900236475,0.705435537429562,0.562694413184138,0.485500459267355,0.461704607446363,0.479157789488316,0.525710937160365,0.589214982229662,0.657520856463359,0.718479491628609,0.759941819492563,0.769758771822374,0.735781280385193,0.645860276948172,0.487846693278464,0.249591461143221,-0.081054487690407,-0.516240221455266,-1.0681148083842
800,0.09,80,6000002,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.32296481593809,0.988482190792739,0.747595014123825,0.587906142913417,0.497018434143589,0.462534744796412,0.472057931853959,0.513190852298304,0.573536363111519,0.640697321275677,0.702276583772851,0.745877007585114,0.759101449694538,0.729552767083196,0.644833816733161,0.492547455626506,0.260296540745304,-0.0643160709283728,-0.493687522412452,-1.04021495672486,0.79091820377016,0.670965862871274,0.588860439552922,0.539403661453083,0.517397256209736,0.51764295146086,0.534942474844435,0.564097553998439,0.599909916560851,0.637181290169652,0.670713402462819,0.695307981078333,0.705766753654171,0.696891447828314,0.66348379123874,0.600345511523429,0.50227833632036,0.364083993267511,0.180564210002862,-0.0534792858356078,1.23861383287395,0.931466715257805,0.709776176761719,0.562484205941387,0.478532791352501,0.446863921550753,0.456419585091836,0.496141770531443,0.554972466425265,0.621853661328995,0.685727343798326,0.735535502388949,0.760220125656558,0.748723202156844,0.6899867204455,0.572952669078219,0.386563036610692,0.119759811598612,-0.238515017402328,-0.699319461836436
8000,0.09,80,6000002,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.2852394428301,0.968815810264051,0.741702117513024,0.591987210578228,0.507759935460867,0.477109138162145,0.488123664683268,0.528892361025439,0.587504073189864,0.652047647177746,0.710611928990291,0.751285764628702,0.762158000094185,0.731317481387944,0.646853054511182,0.496853565465105,0.269407860250918,-0.047395215130176,-0.465466814676971,-0.996718092388265,0.788276787982098,0.674137932843302,0.596872157522147,0.551258355902075,0.532075421866528,0.534102249298947,0.552117732082774,0.580900764101451,0.61523023923842,0.649885051377122,0.679644094401,0.699286262193496,0.70359044863805,0.687335547618105,0.645300453017103,0.572264058718485,0.463005258605694,0.312302946562171,0.114936016471358,-0.134316637783304,1.32699615082887,0.994833688246706,0.75546584759526,0.59661683400602,0.506010852610478,0.471372108540129,0.480424806926465,0.52089315290098,0.580501351595166,0.646973608140517,0.708034127668527,0.751407115310687,0.764816776198492,0.735987315463435,0.652642938237009,0.502507849650706,0.273306254836021,-0.0472376410755537,-0.471399632952525,-1.0114555156634
800,0.09,80,6000003,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.27850631471136,0.962407957623673,0.735759554633774,0.586611619950628,0.503014667783209,0.473019212340488,0.484675767831435,0.526034848465024,0.585146968450225,0.650062641996011,0.708832383311352,0.74950670660522,0.760136126086588,0.728771155964426,0.643462310447707,0.492260103745401,0.263215050066481,-0.0556223363800822,-0.476201541385316,-1.01047205074025,0.755257584112863,0.666943923162071,0.606469832923925,0.569910969576956,0.553342989299696,0.552841548270677,0.56448230266843,0.584340908671486,0.608493022458379,0.633014300207639,0.653980398097798,0.667466972307387,0.669549679014939,0.656304174398985,0.623806114638057,0.568131155910686,0.485354954395404,0.371553166270744,0.222801447715235,0.0351754549074115,1.20434005059271,0.952871543419227,0.76805559567525,0.641335486439115,0.564154494789161,0.527955899803726,0.524182980561146,0.54427901613976,0.579687285617905,0.62185106807392,0.662213642586141,0.692218288232907,0.703308284092556,0.686926909243424,0.634517442763851,0.537523163732173,0.387387351226729,0.175553284325855,-0.10653575789211,-0.467436496348828
8000,0.09,80,6000003,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.25100628836052,0.944603715075705,0.725966816315173,0.583285507917768,0.504749705722332,0.478549325567708,0.492874283292736,0.535914494736259,0.595859875737118,0.660900342134155,0.719225809766212,0.759026194472131,0.768491412090753,0.73581137846092,0.649176009421474,0.496775220811257,0.26679892846911,-0.0525629517661258,-0.473120504055608,-1.00668381256049,0.792080643014965,0.673489222645806,0.593643132171145,0.547042621450943,0.528187940345163,0.531579338713768,0.551717066416719,0.583101373313979,0.620232509265512,0.657610724131278,0.689736267771241,0.711109390045364,0.716230340813608,0.699599369935937,0.655716727272312,0.579082662682696,0.464197426027051,0.305561267165341,0.0976744359575274,-0.164962817736428,1.16170074294904,0.896706529013368,0.708166969603408,0.585730702981448,0.519046367409774,0.497762601150675,0.511528042466437,0.549991329619348,0.602801100871696,0.659605994485766,0.710054648723846,0.743795701848225,0.750477792121187,0.719749557805022,0.641259637162017,0.504656668454457,0.299589289944632,0.0157061398948267,-0.35734414343267,-0.829912921775572
800,0.09,80,6000004,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.26714869586852,0.961905558208227,0.743400249848534,0.599961390537587,0.51991760002353,0.491597498054506,0.50332970437866,0.543442838744134,0.600265520899072,0.662126370591618,0.717354007569915,0.754277051582106,0.761224122376335,0.726523839700746,0.638504823303482,0.485495692932687,0.255825068336503,-0.0621784307369245,-0.480186184539453,-1.00986957332294,0.758132735689142,0.673686285275644,0.61661778840386,0.58303574356083,0.569048649233594,0.570765003909192,0.584293306074662,0.605742054217045,0.631219746823381,0.656834882380708,0.678695959376067,0.692911476296497,0.695589931629038,0.682839823860729,0.650769651478611,0.595487912969721,0.513103106821102,0.399723731519791,0.251458285552828,0.0644152674072542,1.49936259337642,1.14269350328025,0.878773650789426,0.695879016326593,0.582285580314388,0.526269323175447,0.516106225332408,0.540072267207908,0.586443429224584,0.643495691805073,0.699505035372013,0.742747440348041,0.761498887155794,0.74403535621791,0.678632827957025,0.553567282795777,0.357114701156803,0.0775510634627402,-0.296847649863773,-0.777805458400102
8000,0.09,80,6000004,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.24591490408802,0.938391922249807,0.718968417862622,0.575803638054369,0.497056829952956,0.470887240686291,0.485454117382283,0.52891670716884,0.589434257173871,0.655166014525284,0.714271226350987,0.754909139778889,0.765239001936898,0.733420059952923,0.647611560954872,0.495972752070653,0.266662880428175,-0.0521588068446534,-0.472333062619925,-1.00570063976973,0.782989743786923,0.669541890468536,0.592668985313846,0.547230940176847,0.528087666911532,0.530099077371893,0.548125083411924,0.577025596885618,0.611660529646968,0.646889793549967,0.677573300448608,0.698570962196885,0.704742690648789,0.690948397658315,0.652047995079456,0.582901394766203,0.478368508572552,0.333309248352494,0.142583525960022,-0.0989487467508694,1.16018426092716,0.88936089960494,0.696419550713651,0.570897342168844,0.50233140188607,0.480258857780883,0.494216837768833,0.533742469765475,0.588372881686359,0.647645201447038,0.701096556963064,0.738264076149989,0.748684886923367,0.721896117198748,0.647434894891685,0.514838347917731,0.313643604192437,0.0333877916313553,-0.336391961849961,-0.80615852833596
800,0.09,80,6000005,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.22284654972536,0.918966566162093,0.702946195853123,0.562888201412769,0.48689534545535,0.46307039059518,0.479516099446578,0.524335234623859,0.58563055874134,0.651504834413338,0.710060824254169,0.749401290878149,0.757628996899596,0.722846704932826,0.633157177592154,0.476663177491899,0.241467467246376,-0.0843271905300981,-0.512618033223207,-1.05530229821863,0.924738697753571,0.765641464878059,0.652050124334617,0.577977136452373,0.537434961560458,0.524436059988,0.532992892064129,0.557117918117974,0.590823598478663,0.628122393475327,0.663026763437094,0.689549168693093,0.701702069572454,0.693497926404306,0.658949199517778,0.592068349242,0.4868678359061,0.337360119839207,0.137557661370451,-0.118527079171039,1.45875317029518,1.0662251845771,0.782495561693886,0.593274584547466,0.484272536039778,0.44119969907276,0.449766356548347,0.495682791368477,0.564659286435086,0.642406124650112,0.714633588915489,0.767051962133156,0.785371527205049,0.755302567033104,0.662555364519258,0.492840202565448,0.23186736407361,-0.134652868054319,-0.621010210916402,-1.2414943816107
8000,0.09,80,6000005,-1,-0.842105263157895,-0.684210526315789,-0.526315789473684,-0.368421052631579,-0.210526315789474,-0.0526315789473685,0.105263157894737,0.263157894736842,0.421052631578947,0.578947368421053,0.736842105263158,0.894736842105263,1.05263157894737,1.21052631578947,1.36842105263158,1.52631578947368,1.68421052631579,1.84210526315789,2,1.2614426037917,0.952026166414779,0.730432019279316,0.584901618828348,0.503676421504916,0.474997883752063,0.487107462012828,0.528246612730254,0.58665679234738,0.650579457307248,0.7082560640529,0.747928069027375,0.757836928673716,0.726224099434963,0.641331037754157,0.49139920007434,0.264670042838552,-0.0506149775101654,-0.466214404528772,-0.993886781774225,0.802106571650058,0.680128944332436,0.596898043467128,0.546990949275222,0.524984741977808,0.525456501795976,0.542983308950814,0.572142243663413,0.607510386154861,0.643664816646249,0.675182615358665,0.696640862513199,0.70261663833094,0.687687023032978,0.646429096840403,0.573419939974303,0.463236632655768,0.310456255105888,0.109655887545751,-0.144587389803552,1.47234386151884,1.08466533981956,0.803347182394089,0.614463724978864,0.504089303310333,0.458298253124943,0.463164910159139,0.50476361014937,0.569168688832079,0.642454481943716,0.710695325220725,0.759965554399553,0.776339505216646,0.745891513408452,0.654695914711416,0.488827044861985,0.234359239596605,-0.122633165348277,-0.596075834236216,-1.19989443133076
