"n","rel","B","seed","a1","a2","a3","a4","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.CG.1","est.CG.2","est.CG.3","est.CG.4","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4"
800,0.5,80,6000001,-1,0,1,2,0.589666688217071,0.578878874584558,0.657827600927971,0.414746681078893,-0.921945014766599,0.78995938113293,0.40750339173573,1.24811982387756,0.0386369591619812,0.0169651491401544,0.017893119904948,0.0437104553958597,0.8952245524432,0.125818469929841,0.14728634656833,1.09397074318829,0.0390459746533754,0.0179482217575017,0.0193559666362409,0.0445413264676798,0.786036988671276,0.109881021675325,0.143201309557653,1.85988126776868
8000,0.5,80,6000001,-1,0,1,2,0.59617998151343,0.609424671978394,0.63629178606459,0.402571795867433,0.919413513575362,0.554231260778317,0.674637876577304,-0.479247818385482,0.0133723155020948,0.00641385904717737,0.00793307785049869,0.0216547698666257,0.345519103217477,0.0786095945779087,0.0833481199108745,0.505492480322873,0.0133459060891712,0.00689145871686882,0.00851654622895475,0.0217236698614046,0.924223256799336,0.211213497566713,0.20818784907269,0.925680871213318
800,0.555555555555556,80,6000001,-1,0,1,2,0.608083170141143,0.571311559336852,0.665013824803066,0.353438666297295,-2.37157955244427,1.01984342361947,0.150616213045831,2.71318784681683,0.0452522475216528,0.0170633134404325,0.0174792400220478,0.048442679330657,2.78376365411873,0.46561980807774,0.524943864780054,3.23042824193702,0.0460526449014014,0.017978229827204,0.0187243606880128,0.0498651149906686,3.64412899604018,0.626302447900649,0.745022970694263,6.5649639046155
8000,0.555555555555556,80,6000001,-1,0,1,2,0.603828562348166,0.603661917557863,0.645324432109991,0.33436755770792,1.01041722779171,0.534841275704457,0.697946097846882,-0.641720908760014,0.0160693998756918,0.00691796699124139,0.00850150466247093,0.0271901402980914,0.318234754166993,0.069597105750286,0.07494592577937,0.489300432342285,0.0161073916592491,0.00754183671883949,0.00923275196472362,0.0275205748559448,0.846417454357036,0.187859481881316,0.188456242341831,0.921120076352603
800,0.611111111111111,80,6000001,-1,0,1,2,0.634284506592891,0.563113699360185,0.672433874532448,0.280379538461148,43.6129431566444,-6.07770072745592,7.9948508736448,-42.4235902381493,0.0516535769474957,0.0170121343916574,0.0169683648319842,0.0535401351183536,601.690682132451,92.1176318225342,101.779812489625,586.046195116446,0.052808247518653,0.0177397692585187,0.0178808939221388,0.0552342899394729,2426.7784096272,374.882897546807,412.88000793454,2364.19067821242
8000,0.611111111111111,80,6000001,-1,0,1,2,0.620200956434969,0.595938715678875,0.655752553517455,0.247862764004913,1.08935073788954,0.518802671315491,0.717662708462112,-0.786497769510146,0.0192115607333836,0.00735389766883754,0.00894198301561398,0.0337227766634859,0.269564803048263,0.0570003282308315,0.0622367361750934,0.435028278278233,0.019457286376815,0.00807901396775061,0.00976671060207017,0.034424337725869,0.586774178622868,0.127059979401649,0.130213984495616,0.712312860216778
800,0.666666666666667,80,6000001,-1,0,1,2,0.669429049792747,0.55424599979144,0.680165996621669,0.193643238863063,3.20356282153419,0.165293983674627,1.09185225792015,-2.73297223382734,0.0571183983262998,0.0168038411764532,0.0163608542963655,0.0598426019457637,2.30494157613513,0.309032628442712,0.342722620612317,2.18120795644499,0.0584300310765137,0.0172871775812536,0.016902027322452,0.061424826883653,6.97416123560108,1.0742320203839,1.15338885258108,6.72175626281515
8000,0.666666666666667,80,6000001,-1,0,1,2,0.648479112173143,0.586152245047083,0.667622858693084,0.139464647040348,1.15269956781963,0.506543802360475,0.733162012656545,-0.905970329951822,0.0225151121296746,0.00762673633785843,0.00915101273526384,0.0407911037510453,0.212227409439631,0.0434561732800023,0.0480213030943253,0.359283595893443,0.023067777339842,0.00838455787467124,0.00999296650460129,0.0418790809440446,0.361365731407882,0.0762311371462109,0.079938162756206,0.494485445168151
800,0.722222222222222,80,6000001,-1,0,1,2,0.71513223945818,0.544626016073437,0.688280214604649,0.090544637873825,1.99157975194891,0.354485518839343,0.881361347182004,-1.54234999147565,0.060937280968779,0.0164599433461695,0.0156779188059706,0.0684806735248631,0.644837705099587,0.0795345543178982,0.0892390323120673,0.686701306910275,0.0622374226496481,0.0167473939602024,0.0159312173855032,0.0699130612866625,1.81310697877188,0.282195183196805,0.298649932552875,1.84885919486256
8000,0.722222222222222,80,6000001,-1,0,1,2,0.692242883113779,0.574259234367915,0.680900114434058,0.00550394310178101,1.19981414897127,0.497970613038128,0.744417945051208,-0.99703418505968,0.0254437408247815,0.00764670516261386,0.00903442459805471,0.0475804674679842,0.156618856254663,0.0309993586149284,0.0345949036931543,0.278234881657168,0.02629646077523,0.00835690819127946,0.00980788545599909,0.0489512847336065,0.224881877323063,0.0460451779376845,0.0492368394327733,0.341665994601443
800,0.777777777777778,80,6000001,-1,0,1,2,0.77377422830277,0.534123989958967,0.69683373516453,-0.032744535731783,1.59258837561213,0.417856757313263,0.809978544643932,-1.15588966429378,0.0624711378074654,0.0160466697049385,0.0149857836472179,0.0805602587749095,0.299889762369557,0.0372601933894627,0.0412498782571018,0.385406792846016,0.0639728006656755,0.01632432620268,0.0151907059537451,0.0826775029885137,0.829286931831252,0.13095657232941,0.136625265054583,0.909245788996784
8000,0.777777777777778,80,6000001,-1,0,1,2,0.755309029919511,0.560322925242733,0.695415487608958,-0.157263695919185,1.23195478656102,0.492667722730261,0.751799199299559,-1.0599426224029,0.0272435508209289,0.00735230650853753,0.00853335553820325,0.0529088772453588,0.109071435813529,0.0207906586829937,0.0233570524885974,0.203334267182096,0.0282713674834327,0.00793971441195649,0.00916113382685419,0.0543624612031632,0.138108342753378,0.0272661740380734,0.0296222486738746,0.230947249602125
800,0.833333333333333,80,6000001,-1,0,1,2,0.849044486666618,0.52255144269432,0.705856264971033,-0.181919608286234,1.40798892524703,0.448092095606917,0.775090883711693,-0.984970558249804,0.0613430637464173,0.0156914573518622,0.0144207730326583,0.096493905588027,0.171062865384891,0.0241227795363655,0.0252158526985865,0.271501616009816,0.0642719113187307,0.0162804501116681,0.0149554330645184,0.101316528559497,0.397157495593832,0.0629352256437863,0.0639848226214776,0.491247863201998
8000,0.833333333333333,80,6000001,-1,0,1,2,0.841377042155096,0.544584127930515,0.710791767382133,-0.350701722000229,1.25130299035945,0.490098368139803,0.755844083475306,-1.09667684013952,0.0270981987817774,0.00674743418050776,0.00766505196635458,0.0552468157843929,0.0720899997275097,0.0132492356800034,0.0148906661000331,0.140442581142029,0.0281065394960573,0.00716400716084273,0.00810137806778574,0.0565626479024184,0.0831132377494241,0.0157442857799531,0.0172730110501405,0.151325885326229
800,0.888888888888889,80,6000001,-1,0,1,2,0.947064974471037,0.509635372926659,0.715301590449874,-0.366129971223677,1.31399496627426,0.464557661728549,0.7550739376282,-0.908396070006467,0.0579443438641327,0.015562045097292,0.0141732344368821,0.114529207140551,0.108929339453375,0.0192406642534832,0.0187254942103341,0.210730530940217,0.0655976443670192,0.0168571012556085,0.0154532635922452,0.125273656721736,0.202259367374158,0.0334387048528715,0.0325312934096131,0.30008372141265
8000,0.888888888888889,80,6000001,-1,0,1,2,0.953354054966783,0.527572218534034,0.726327812313756,-0.573446510378698,1.26019711327821,0.489761598219423,0.757067815465402,-1.10921659698732,0.0244787847036305,0.00594428073805282,0.00656899299676948,0.0527003161029173,0.0453514833692656,0.00832220426766811,0.0092315705303159,0.0907852463991768,0.0253139831428336,0.00619162642794292,0.00682199933811464,0.0537484360162001,0.0489893758543252,0.00912918221792548,0.00998274489932469,0.0946441517845068
